denumirea_engleza,denumirea_romana,codul
Floating Hydrocharis morsus-ranae rafts,Comunități plutitoare cu Hydrocharis morsus-ranae,C1.222
Floating Utricularia australis and Utricularia vulgaris colonies,Colonii plutitoare libere de Utricularia australis și Utricularia vulgaris,C1.224
Floating Salvinia natans mats,Covorașe plutitoare libere Salvinia natans,C1.225
Free-floating vegetation of eutrophic waterbodies,Vegetație plutitoare liberă în corpuri de apă eutrofe,C1.32
Peri-Danubian black-white-star sedge fens,Mlaștini peri-dunărene cu rogoz,D2.226
Moist or wet tall-herb and fern fringes and meadows,Pajiști umede și comunități de ierburi înalte și ferigi,E5.4
Riverine Salix woodland,Formațiuni riverane de salcie,G1.11
"Riverine Fraxinus-Alnus woodland, wet at high but not at low water",Păduri de frasin și arin central europene,G1.21
Fagus woodland,Păduri de fag,G1.6
Quercus-Fraxinus-Carpinus betulus woodland on eu trophic and mesotrophic soils,Păduri de stejar și carpen,G1.A1
"Rich fens, including eutrophic tall-herb fens and calcareous flushes and soaks",Mlaștini abundente,D4.1
Rooted submerged vegetation of eutrophic waterbodies,Vegetația scufundată înrădăcinată a rezervoarelor eutrofe,C1.33
Beds of large sedges normally without free-standing water,Mlaștini cu straturi de rogoz,D5.2
Euro-Siberian rock debris swards,Grupuri euro-siberiene pe fragmente de rocă,E1.11
Ravine and slope woodland,Păduri mixte de pantă și vâlcele,G1.A4
"Terrestrial underground caves, cave systems, passages and waterbodies",Peșteri,H1
Wooded steppe,Stepe împădurite,X18
Continental inland salt steppes,Stepele continentale saline,E6.2
Floating Stratiotes aloides rafts,Comunități plutitoare cu Stratiotes aloides,C1.223
Moist or wet eutrophic and mesotrophic grassland,Pajiști eutrofice și mezotrofe umede,E3.4
Thermophilous deciduous woodland,Păduri termofile de foioase,G1.7
Perennial calcareous grassland and basic steppes,Pajiști perene calcaroase și stepe continentale,E1.2
Ponto-Sarmatic deciduous thickets,Desișuri de foioase ponto-sarmatice,F3.247
Mussel and/or barnacle communities,Comunități de midii și/sau lipaci,A1.11
Mixed Quercus-Ulmus-Fraxinus woodland of great rivers,Păduri mixte de stejar – ulm – frasin pe râuri mari,G1.22
Low and medium altitude hay meadows,Pajiști de fân cu altitudine mică și medie,E2.2
