ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_1,Equisetum arvense L.,Ecvisetă campestră,Equisetopsida,Equisetaceae,,, ,+, , ,,,,,C
P_2,Equisetum hyemale L.,Ecvisetă hibernantă,Equisetopsida,Equisetaceae,,, ,+, , ,,,,,C
P_3,Equisetum palustre L.,Ecvisetă palustră,Equisetopsida,Equisetaceae,,, , , ,+,,,,,C
P_4,Equisetum telmateia Ehrh. ,Ecvisetă telmicolă,Equisetopsida,Equisetaceae,,, ,+, , ,,,,,C
P_5,Ophioglossum vulgatum L.,Grăitoare comună,Polypodiopsida,Ophioglossaceae,,,,,+,,,,,,RR
P_6,Athyrium filix-femina (L.) Roth,Filice feminină,Polypodiopsida,Athyriaceae,,,+,,,,,,,,RR
P_7,Cystopteris fragilis (L.)Bernh,Vezicarie fragilă,Polypodiopsida,Athyriaceae,,,,,+,,,,,,RR
P_8,Asplenium ruta-muraria L.,Ruginiță parietală,Polypodiopsida,Aspleniaceae,,,,,+,,,,,,R
P_9,Asplenium trichomanes L,Ruginiță filiformă,Polypodiopsida,Aspleniaceae,,,,,+,,,,,,R
P_10,Gymnocarpium dryopteris(L.) Newman,Gimnocarpiu ferigoideu,Polypodiopsida,Aspidiaceae,,,,,+,,,,,,RR
P_11,Gymnocarpium robertianum (Hoffm) Newman,Gimnocarpiu Robert,Polypodiopsida,Aspidiaceae,,,,,+,,,,,,RR
P_12,Dryopteris dilatata (Hoffm.) A. Gray,Ferigă dilatată,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
P_13,Dryopteris carthusiana H.P. Fuchs  ,Ferigă cartuziuană,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
P_14,Dryopteris caucasica (A.Br.) Fraser-Jenkins et Corley,Ferigă caucaziană,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
P_15,Dryopteris filix-mas (L.) Schott  ,Ferigă masculină,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
P_16,Acer campestre L.,Jugastru,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
P_17,Acer negundo L.,Arțar negru,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
P_18,Acer platanoides L.,Paltin de câmp,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
P_19,Acer pseudoplatanus L.,Paltin de munte,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
P_20,Acer tataricum L.,Arțar tătăresc,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
P_21,Aegopodium podagraria L.,Piciorul caprei,Magnoliopsida,Apiaceae,,, +, , , ,,,,,C
