reserve_id, association_id,year
R_18,A_1,2018
R_109,A_2,2018  
R_109,A_3,2018
R_109,A_4,2018
R_66,A_2,2018
R_67,A_4,2018
R_127,A_2,2018
R_127,A_23,2018
R_127,A_10,2018
R_127,A_4,2018
R_127,A_5,2018
R_127,A_21,2018
R_72,A_3,2018
R_72,A_4,2018
R_117,A_15,2018
R_117,A_31,2018
R_117,A_2,2018
R_110,A_4,2018
R_110,A_5,2018
R_110,A_21,2018
R_74,A_3,2018
R_37,A_1,2018
R_37,A_2,2018
R_37,A_3,2018
R_37,A_4,2018
R_36,A_1,2018
R_36,A_2,2018
R_36,A_23,2018
R_36,A_3,2018
R_36,A_4,2018
R_38,A_23,2018
R_38,A_11,2018
R_38,A_5,2018
R_39,A_3,2018
R_39,A_8,2018
