Denumire,Raion,Amplasare,Proprietar,Suprafata,Coordonate,Categorie,Subcategorie,Diversitatea_fitocenotica
Voinova,Anenii Noi,"La nord de satul Şerpeni, ocolul silvic Anenii Noi, Voinova, parcela 41",Gospodăria Silvică de Stat Chişinău,27,47.049365°N 29.346514°E,Rezervaţiile Naturale,Silvice
Rosoşeni,Briceni,"Ocolul silvic Briceni, Rosoşeni, parcelele 11, 12, 14, subparcela 2",Gospodăria Silvică de Stat Edineţ,149,48.364107°N 27.037701°E,Rezervaţiile Naturale,Silvice
Baurci,Cahul,"La sud de satul Baurci-Moldoveni, ocolul silvic Larga, Români, parcela 25, subparcelele 1, 9; parcela 36, subparcelele 1, 2, 4; parcela 37, subparcela 4",Gospodăria Silvică de Stat Cahul,"93,1",46.035809°N 28.262839°E,Rezervaţiile Naturale,Silvice
Sitişchi,Camenca,"Ocolul silvic Camenca, Sitişchi, parcela 32",Gospodăria Silvică de Stat Rîbniţa,90,47.989599°N 28.8295°E,Rezervaţiile Naturale,Silvice
Vadul,Camenca,"Ocolul silvic Camenca, Vadul, parcelele 6, 7",Gospodăria Silvică de Stat Rîbniţa,135,48.13397°N 28.663092°E,Rezervaţiile Naturale,Silvice
Colohur,Camenca,"La sud de satul Caterinovca, ocolul silvic Raşcov, Colohur, parcelele 22, 23, 25",Gospodăria Silvică de Stat Rîbniţa,178,47.908675°N 28.901836°E,Rezervaţiile Naturale,Silvice
Ciobalaccia,Cantemir,"La 2 km est de satul Ciobalaccia, ocolul silvic Baimaclia, Aluniş, parcela 34, subparcelele 14, 15",Gospodăria Silvică de Stat Iargara,"13,4",46.15144°N 28.300981°E,Rezervaţiile Naturale,Silvice
Moleşti-Răzeni,Căinari,"Ocolul silvic Răzeni, Vila Moleşti-Răzeni, parcelele 30-32; subparcelele 1, 2, 7; parcela 33, subparcelele 1, 5",Gospodăria Silvică de Stat Cimişlia,"250,7",46.768689°N 28.759923°E,Rezervaţiile Naturale,Silvice
Sadova,Călăraşi,"Ocolul silvic Călăraşi, Sadova, parcelele 33, 34",Gospodăria Silvică de Stat Călăraşi,229,47.216152°N 28.307841°E,Rezervaţiile Naturale,Silvice
Boguş,Călăraşi,"Ocolul silvic Hîrjauca, Vila Hîrjauca, parcela 26",Gospodăria Silvică de Stat Călăraşi,89,47.31289°N 28.20274°E,Rezervaţiile Naturale,Silvice
