Denumire,Raion,Amplasare,Proprietar,Suprafata,Coordonate,Categorie,Subcategorie,Diversitatea_fitocenotica
Pădurea Hîrbovăţ,Anenii Noi,"Între satele Hîrbovăţ şi Bulboaca, ocolul silvic Hîrbovăţ, Vila Hîrbovăţ, parcelele 8-36",Gospodăria Silvică de Stat Bender,2218,,Rezervațiile peisajere
Teliţa,Anenii Noi,"La est de satul Teliţa, ocolul silvic Anenii Noi, Hîrtop, parcelele 50-51",Gospodăria Silvică de Stat Chişinău,124,,Rezervațiile peisajere
Teţcani,Briceni,"La nord de satul Teţcani, ocolul silvic Lipcani, Teţcani, parcela 35","Gospodăria Silvică de Stat Edineţ (), Primăria satului Teţcani ()",164,,Rezervațiile peisajere
Complexul geologic şi paleontologic din bazinul rîului Lopatnic,Briceni,"De-a lungul rîului Lopatnic, de la sud-estul satului Caracuşenii Vechi pînă la satul Corjeuţi (defileul Caracuşenii de sud (); defileul 1 şi 2 (cîte ) lîngă satul Caracuşenii Vechi; defileul 3 (), ocolul silvic Briceni, Caracuşenii Vechi, parcela 49; defileul 4 şi 5 ( şi, respectiv, ); formaţiunile tectonice de lîngă satul Corjeuţi ())","Gospodăria Silvică de Stat Edineţ, primăriile satelor Caracuşenii Vechi şi Corjeuţi",452,,Rezervațiile peisajere
Bugornea,Camenca,"Lîngă satul Raşcov, ocolul silvic Raşcov, Bugornea, parcelele 5-14",Gospodăria Silvică de Stat Rîbniţa,606,,Rezervațiile peisajere
Valea Adîncă,Camenca,"Împrejurimile satului Valea Adîncă, ocolul silvic Raşcov, Valea Adîncă, parcela 2","Gospodăria Silvică de Stat Rîbniţa (), Întreprinderea Agricolă ""70-letie Velicogo Octeabrea"" ()",214,Rezervațiile peisajere
Glubocaia Dolina,Camenca,"La nord-est de satul Caterinovca, ocolul silvic Raşcov, Glubocaia Dolina, parcelele 15-19",Gospodăria Silvică de Stat Rîbniţa,520,,Rezervațiile peisajere
Lunca inundabilă de lîngă Antoneşti,Cantemir,La vest de satul Antoneşti,"Întreprinderea Agricolă ""Drujba""","93,6",,Rezervațiile peisajere
Chioselia,Cantemir,"La nord-vest de satul Chioselia, ocolul silvic Baimaclia, Chioselia, parcelele 35-38",Gospodăria Silvică de Stat Iargara,307,,Rezervațiile peisajere
Codrii Tigheci,Cantemir,"Între satele Lărguţa şi Capaclia, ocolul silvic Cantemir, Tigheci, parcelele 1-40",Gospodăria Silvică de Stat Iargara,2519,,Rezervațiile peisajere
Cărbuna,Căinari,"Între satul Cărbuna şi staţia de cale ferată Zloţi, ocolul silvic Zloţi Vila Mileşti-Răzeni, parcelele 1-4, 9",Gospodăria Silvică de Stat Cimişlia,607,,Rezervațiile peisajere
Ţigăneşti,Călăraşi,"Între satele Săseni, Tabăra, Ţigăneşti, Bravicea, ocolul silvic Bravicea, Bravicea, parcelele 50, 51, 58, 61, 62, 64, 65, 67","Gospodăria Silvică de Stat Călăraşi () Întreprinderea Agricolă ""Codreanca"" ()",680,,Rezervațiile peisajere
Voloca Verbca,Călăraşi,"Între satele Sadova şi Rassvet, ocolul silvic Pituşca, Voloca Verbca, parcelele 45-48",Gospodăria Silvică de Stat Călăraşi,407,,Rezervațiile peisajere
Căbăieşti -Pîrjolteni,Călăraşi,"Între satele Căbăieşti, Pîrjolteni, Seliştea Nouă, ocolul silvic Călăraşi, Căbăieşti – Pîrjolteni, parcelele 47-56",Gospodăria Silvică de Stat Călăraşi,1213,,Rezervațiile peisajere
Temeleuţi,Călăraşi,"Între satele Temeleuţi şi Vălcineţ, ocolul silvic Călăraşi, Temeleuţi, parcelele 12, 13",Gospodăria Silvică de Stat Călăraşi,209,,Rezervațiile peisajere
Rîpele de,Cimişlia,"La sud de oraşul Cimişlia, pe drumul spre oraşul Basarabeasca, ocolul silvic Ciucur – Mingir, Oziornoe, parcela 3, subparcelele 11, 13, 15; Recea, parcela 7, subparcelele 1, 4, 5, 10; Bacanciu, parcela 5, subparcelele 5, 9, 11, 13-15, 17-19, 22, 23, 25, 27, 29",Gospodăria Silvică de Stat Cimişlia,256,,Rezervațiile peisajere
Rudi – Arioneşti,Donduşeni,"La mai jos de oraşul Otaci, de-a lungul Nistrului, ocolul silvic Otaci, Arioneşti – Stînca, parcelele 20-22; Rudi-Gavan, parcelele 23-29","Gospodăria Silvică de Stat Soroca (), Întreprinderea Agricolă ""Arioneşti"" (), Întreprinderea Agricolă ""Nistru"" ()",916,,Rezervațiile peisajere
"Valea Seacă ""Tamaşlîc""",Dubăsari,"La nord-est de oraşul Grigoriopol, ocolul silvic Grigoriopol, Geamanat, parcelele 18, 19; Popeasca, parcelele 14-17",Gospodăria Silvică de Stat Bender,394
Feteşti,Edineţ,"La nord-est de satul Feteşti, ocolul silvic Edineţ, Feteşti, parcelele 9-14, 59",Gospodăria Silvică de Stat Edineţ,555,,Rezervațiile peisajere
Zăbriceni,Edineţ,"La nord-vest de satul Oneşti, ocolul silvic Edineţ, Zăbriceni, parcelele 45-49",Gospodăria Silvică de Stat Edineţ,596,,Rezervațiile peisajere
Izvoare – Risipeni,Făleşti,"Între satele Izvoare şi Risipeni, ocolul silvic Făleşti, Risipeni, parcelele 72, 73, 75, 76; Caiuceni – Nagornoe, parcelele 30-33, 36-38; Izvoare, parcelele 61-69",Gospodăria Silvică de Stat Glodeni,1162,,Rezervațiile peisajere
Pădurea din Hînceşti,Hînceşti,"Între satele Lăpuşna şi Mereşeni, ocolul silvic Logăneşti, Vila Logăneşti, parcelele 35-37, 42-44; ocolul silvic Mereşeni, Vila Hînceşti, parcelele 1-5, 8-13, 16-23, 26-31, 33-39, 41-45",Gospodăria Silvică de Stat Hînceşti,4499,,Rezervațiile peisajere
Cazimir – Mileşti,Nisporeni,"Între satele Mileşti, Bălăneşti, Găureni ocolul silvic Păruceni, Cazimir – Mileşti, parcelele 3-7",Gospodăria Silvică de Stat Nisporeni,500,,Rezervațiile peisajere
Vila Nisporeni,Nisporeni,"La sud-est de oraşul Nisporeni, ocolul silvic Nisporeni, Nisporeni, parcelele 7-38",Gospodăria Silvică de Stat Nisporeni,3499,,Rezervațiile peisajere
Dolna,Nisporeni,"La sud de satul Dolna, ocolul silvic Iurceni, Dolna, parcelele 4-6",Gospodăria Silvică de Stat Nisporeni,389,,Rezervațiile peisajere
Calaraşovca,Ocniţa,"La sud-est de oraşul Otaci, ocolul silvic Otaci, Calaraşovca-Stînca, parcelele 10-12","Gospodăria Silvică de Stat Soroca (), Întreprinderea Agricolă ""Dnestrovsc"" ()",52,,Rezervațiile peisajere
La 33 de Vaduri,Ocniţa,"La sud de satul Naslavcea, ocolul silvic Ocniţa, Bîrnova, parcela 4; Verejeni-Bîrnova, parcela 5","Gospodăria Silvică de Stat Edineţ (), Întreprinderea Agricolă ""Vatutin"" (16ha)",184,,Rezervațiile peisajere
Pohrebeni,Orhei,"Între satele Pohrebeni şi Voroneţ, ocolul silvic Pohrebeni, Pohrebeni, parcelele 14-35",Gospodăria Silvică de Stat Orhei,1049,,Rezervațiile peisajere
Trebujeni,Orhei,"Între satele Furceni şi Trebujeni, ocolul silvic Susleni, Jeloboc-Furceni, parcelele 51, 52; ocolul silvic Ivancea, Trebujeni, parcelele 31, 32, 34, 35, 37","Gospodăria Silvică de Stat Orhei (), Primăria satului Tribujeni ()",500,,Rezervațiile peisajere
Saharna,Rezina,"La vest de satul Saharna, ocolul silvic Rezina, Saharna, parcelele 17-23, 25-28; Saharna – Zemstvo, parcela 29",Gospodăria Silvică de Stat Orhei,674,,Rezervațiile peisajere
Ţîpova,Rezina,"Împrejurimile satului Ţîpova, ocolul silvic Pohrebeni, Stînca-Horodişte, parcela 42; Hiridiste-Funduc, parcelele 43, 44; Scala-Stînca, parcela 45","Gospodăria Silvică de Stat Orhei (), Întreprinderea Agricolă ""Lalova"" ()",306,,Rezervațiile peisajere
Suta de Movile,Rîşcani,"Între satele Branişte şi Cobani (raionul Glodeni), ocolul silvic Rîşcani, Avrămeni- Nagornoe, parcelele 32 65; Petruşeni, parcelele 26-31","Gospodăria Silvică de Stat Glodeni (657ha) Întreprinderea Agricolă ""Branişte"" ()",1072,,Rezervațiile peisajere
Grădina Turcească,Slobozia,"Între satele Leuntea şi Copanca, ocolul silvic Copanca, Adajia, parcela 65; Grădina Turcească, parcela 66, albia veche a Nistrului pe o distanţă de",Gospodăria Silvică de Stat Bender,224
Cosăuţi,Soroca,"Satul Cosăuţi, ocolul silvic Soroca, Cosăuţi, parcelele 4-8",Gospodăria Silvică de Stat Soroca,585,,Rezervațiile peisajere
Holoşniţa,Soroca,"În preajma satului Holoşniţa, ocolul silvic Soroca, Holoşniţa, parcelele 1, 2",Gospodăria Silvică de Stat Soroca,199,,Rezervațiile peisajere
Căpriana – Scoreni,Străşeni,"Între satele Lozova, Vorniceni, Pănăşeşti, Truşeni, Cojuşna, ocolul silvic Căpriana, Căpriana, parcela 21, subparcelele 7-14; parcela 27, subparcelele 4-13; parcela 33, subparcelele 2, 3, 5; parcelele 28-30, 34-36; ocolul silvic Scoreni, Scoreni, parcelele 1-8",Gospodăria Silvică de Stat Străşeni,"1762,4",,Rezervațiile peisajere
Climăuţii de Jos,Şoldăneşti,"La sud de satul Climăuţii de Jos, ocolul silvic Şoldăneşti, Climăuţi, parcelele 5-9; Socola, parcelele 10, 11; Pridnestrovscoe, parcela 1",Gospodăria Silvică de Stat Soroca,668
